No,시도,구군,삶의_만족도,건강,안전,환경,경제,교육,관계_및_사회참여,여가
202,경상북도,청도군,0.9963,0.3591,0.3543,0.8228,0.1835,0.2946,0.1803,0.4856
203,경상북도,고령군,1.0,,0.7428,0.8211,0.5104,0.4778,0.341,0.7581
204,경상북도,성주군,0.8362,0.5303,0.4864,0.7352,0.3541,0.252,0.0929,0.3945
205,경상북도,칠곡군,0.0689,0.2622,0.4379,0.6182,0.5639,0.8217,0.478,0.4719
206,경상북도,예천군,0.9988,0.1455,0.4022,0.6424,0.0311,0.2797,0.5684,0.6828
207,경상북도,봉화군,0.0471,0.1613,0.6992,0.6308,0.1169,0.0272,0.2471,0.6816
208,경상북도,울진군,0.2297,0.0535,0.3581,0.618,0.3157,0.1987,0.6763,0.558
209,경상북도,울릉군,0.6826,0.1876,1.0,0.7662,0.5682,0.3,0.8096,0.6406
210,경상남도,진주시,0.7447,0.4732,0.3993,0.7452,0.4046,0.9004,0.3187,0.3348
211,경상남도,통영시,0.0595,0.2398,0.3615,0.5954,0.3619,0.8503,0.2249,0.4245
212,경상남도,사천시,0.2914,0.3079,0.242,0.6964,0.3999,0.8182,0.3434,0.4213
213,경상남도,김해시,0.2581,0.2019,0.264,0.6984,0.5228,0.9055,0.4835,0.1475
214,경상남도,밀양시,0.524,0.2676,0.617,0.7807,0.207,0.6355,0.3838,0.535
215,경상남도,거제시,0.2734,0.1163,0.2521,0.5248,0.6011,0.6174,0.3562,0.1987
216,경상남도,양산시,0.4128,0.5265,0.2798,0.6661,0.5173,0.5557,0.6759,0.2007
217,경상남도,창원시,0.3101,0.2656,0.4125,0.5311,0.5637,0.9113,0.5297,0.123
218,경상남도,의령군,0.9962,0.4545,0.5732,0.8567,0.1227,0.4605,0.3957,0.8145
219,경상남도,함안군,0.2892,0.304,0.5355,0.589,0.6504,0.7669,0.6543,0.5221
220,경상남도,창녕군,0.6515,0.6022,0.698,0.8946,0.3175,0.308,0.3526,0.4935
221,경상남도,고성군,0.4098,0.4364,0.7044,0.8042,0.3232,0.6217,0.2248,0.4154
222,경상남도,남해군,0.3203,0.2455,0.7821,0.841,0.199,0.6532,0.3728,0.5354
223,경상남도,하동군,0.6993,0.2093,0.4709,0.7235,0.1811,0.3184,0.6235,0.4708
224,경상남도,산청군,0.9355,0.3469,0.4006,0.8105,0.1208,0.4212,0.3351,0.7607
225,경상남도,함양군,0.9565,0.2036,0.7012,0.7717,0.1401,0.5064,0.2192,0.6758
226,경상남도,거창군,0.6163,0.215,0.4392,0.7998,0.1799,0.8178,0.5717,0.4838
227,경상남도,합천군,0.8057,0.2128,0.4268,0.9117,0.0373,0.164,0.051,0.79
228,제주특별자치도,제주시,0.7113,0.2537,0.4461,0.6842,0.425,0.6468,0.6107,0.6948
229,제주특별자치도,서귀포시,0.7113,0.2537,0.4461,0.6842,0.425,0.6468,0.6107,0.6948
